University of Wisconsin-Madison
EVENTS,POSITIONS,AWARDS & SERVICES
BadgerHacks Hackathon (link),Co-Founder,Leadership Position
Microsoft Azure U.S. Hack for Accessibility,5th place,Cash Prize of $500 and $50 of Microsoft swag
Grade 12
EVENTS,POSITIONS,AWARDS & SERVICES
PICO Capture the Flag Competition,Top 2.8% out of 7000 Participants,-
Teen Hacks HTX,2nd place,Cash Prize of $40
Omega Hacks,1st place,Cash Prize of $60
Grade 11
EVENTS,POSITIONS,AWARDS & SERVICES
National Honor Society,Vice President,Leadership Position
Monta Vista Bite Club,Vice President,Leadership Position
Monta Vista ESports,Director of Reporting,Leadership Position
Stanford ProCo,6th place,-
Harker Programming Invitational Competition,1st place,Cash Prize of $250
Cupertino Hacks - Cerificate From Mayor Steven M. Scharf & Offically Recognition in Eng. & Comp. Programming - City Council,1st place,Presented on Live TV & Certificate from Mayor
United States Congress - Congressional App Challenge Certificate from Congressman Ro Khanna,4th place,Signed Certificate from Ro Khanna
"Regional Science Olympiad School Team Trophy, Santa Clara, CA",3rd place,School Team won Trophy
"Mousetrap Vehicle - Invitational Science Olympiad Competition, Tracy, CA",4th place,Medallion
"Code Busters - Regional Science Olympiad Competition, Santa Clara, CA",10th place,-
Advanced Placement (AP) Scholar with Distinction Award,AP Scholar,Distinction Award
Peninsula State Math Counts - Social Work,6.0 hours,Community Service
Regnart Fall Festival - Social Work,3.0 hours,Community Service
Mountain View Tree Lighting - Social Work,3.0 hours,Community Service
Friends of the Cupertino Library Book Sale Shift 2 - Social Work,3.0 hours,Community Service
Lincoln Lawrence Hall of Science Mystery Fest - Social Work,4.0 hours,Community Service
INTERNSHIP - TAUGHT COMPUTER SCIENCE to UNDERPRIVILEGED STUDENTS - INDIAN VILLAGE,21.0 hours,Community Service
Monta Vista Robotics Team,Team Member,-
Monta Vista California Scholarship Foundation Club,Team Member,-
Grade 10
EVENTS,POSITIONS,AWARDS & SERVICES
"Cupertino Library Teen App Challenge, Cupertino, CA -",1st place,Cash Prize of $500
"Regional Science Olympiad School Team, Santa Clara, CA",3rd place,School Trophy
"Anatomy & Physiology - Regional Science Olympiad Competition, Santa Clara, CA",10th place,-
American Computer Science League - Won Internationally,6th place,-
"Harker Programming Invitational, San Jose, CSA",Participation,-
"Dell Tech Challenge, San Jose, CA",Participation,-
"Stanford Math Tournament, Stanford, CA",Participation,-
Badminton Player - MVHS,Junior Varsity,Badminton Player
